episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food
102,AStar,Maze1_easy.txt,2000,520,52,0,24.3815,94,0,1.0,38.46
103,AStar,Maze1_easy.txt,2000,620,62,0,20.6405,115,0,1.0,32.26
104,AStar,Maze1_easy.txt,2000,560,56,0,24.4955,104,0,1.0,35.71
105,AStar,Maze1_easy.txt,2000,560,56,0,24.1415,104,0,1.0,35.71
106,AStar,Maze1_easy.txt,2000,640,64,0,21.6375,116,0,1.0,31.25
107,AStar,Maze1_easy.txt,2000,520,52,0,25.08,98,0,1.0,38.46
108,AStar,Maze1_easy.txt,2000,530,53,0,24.0195,99,0,1.0,37.74
109,AStar,Maze1_easy.txt,2000,520,52,0,23.2535,97,0,1.0,38.46
110,AStar,Maze1_easy.txt,2000,460,46,0,26.453,82,0,1.0,43.48
111,AStar,Maze1_easy.txt,2000,570,57,0,22.192,106,0,1.0,35.09
112,AStar,Maze1_easy.txt,2000,530,53,0,23.643,101,0,1.0,37.74
113,AStar,Maze1_easy.txt,2000,540,54,0,23.215,99,0,1.0,37.04
114,AStar,Maze1_easy.txt,2000,560,56,0,22.085,106,0,1.0,35.71
115,AStar,Maze1_easy.txt,2000,550,55,0,24.3695,104,0,1.0,36.36
116,AStar,Maze1_easy.txt,2000,540,54,0,22.551,99,0,1.0,37.04
117,AStar,Maze1_easy.txt,2000,550,55,0,23.113,102,0,1.0,36.36
118,AStar,Maze1_easy.txt,2000,510,51,0,25.409,94,0,1.0,39.22
119,AStar,Maze1_easy.txt,2000,560,56,0,24.853,102,0,1.0,35.71
120,AStar,Maze1_easy.txt,2000,570,57,0,22.608,108,0,1.0,35.09
121,AStar,Maze1_easy.txt,2000,480,48,0,25.1695,88,0,1.0,41.67
122,AStar,Maze1_easy.txt,2000,540,54,0,23.3285,106,0,1.0,37.04
123,AStar,Maze1_easy.txt,2000,600,60,0,21.2165,115,0,1.0,33.33
124,AStar,Maze1_easy.txt,1005,270,27,0,21.4438,48,0,1.0,37.22
125,AStar,Maze1_easy.txt,2000,490,49,0,27.203,94,0,1.0,40.82
126,AStar,Maze1_easy.txt,2000,520,52,0,24.702,98,0,1.0,38.46
127,AStar,Maze1_easy.txt,2000,660,66,0,20.5055,117,0,1.0,30.3
128,AStar,Maze1_easy.txt,2000,520,52,0,23.884,102,0,1.0,38.46
129,AStar,Maze1_easy.txt,2000,540,54,0,22.9795,103,0,1.0,37.04
130,AStar,Maze1_easy.txt,2000,550,55,0,21.8685,99,0,1.0,36.36
131,AStar,Maze1_easy.txt,2000,590,59,0,22.04,110,0,1.0,33.9
132,AStar,Maze1_easy.txt,2000,590,59,0,22.8415,111,0,1.0,33.9
133,AStar,Maze1_easy.txt,2000,540,54,0,23.391,98,0,1.0,37.04
134,AStar,Maze1_easy.txt,2000,600,60,0,20.669,114,0,1.0,33.33
135,AStar,Maze1_easy.txt,2000,520,52,0,23.418,95,0,1.0,38.46
136,AStar,Maze1_easy.txt,2000,420,42,0,28.459,80,0,1.0,47.62
137,AStar,Maze1_easy.txt,2000,520,52,0,25.4395,93,0,1.0,38.46
138,AStar,Maze1_easy.txt,2000,560,56,0,22.363,104,0,1.0,35.71
139,AStar,Maze1_easy.txt,2000,600,60,0,21.9695,116,0,1.0,33.33
140,AStar,Maze1_easy.txt,2000,550,55,0,24.0955,105,0,1.0,36.36
141,AStar,Maze1_easy.txt,2000,510,51,0,25.116,96,0,1.0,39.22
142,AStar,Maze1_easy.txt,2000,460,46,0,25.4335,87,0,1.0,43.48
143,AStar,Maze1_easy.txt,2000,490,49,0,25.571,93,0,1.0,40.82
144,AStar,Maze1_easy.txt,2000,610,61,0,22.267,114,0,1.0,32.79
145,AStar,Maze1_easy.txt,2000,560,56,0,22.8085,98,0,1.0,35.71
146,AStar,Maze1_easy.txt,2000,550,55,0,23.367,106,0,1.0,36.36
147,AStar,Maze1_easy.txt,2000,540,54,0,22.4705,97,0,1.0,37.04
148,AStar,Maze1_easy.txt,2000,530,53,0,24.4065,102,0,1.0,37.74
149,AStar,Maze1_easy.txt,2000,570,57,0,21.7625,107,0,1.0,35.09
150,AStar,Maze1_easy.txt,2000,550,55,0,23.693,104,0,1.0,36.36
151,AStar,Maze1_easy.txt,2000,630,63,0,21.034,114,0,1.0,31.75
152,AStar,Maze1_easy.txt,2000,580,58,0,23.126,109,0,1.0,34.48
153,AStar,Maze1_easy.txt,2000,510,51,0,23.755,98,0,1.0,39.22
154,AStar,Maze1_easy.txt,2000,570,57,0,22.1635,108,0,1.0,35.09
155,AStar,Maze1_easy.txt,2000,500,50,0,23.5795,95,0,1.0,40.0
156,AStar,Maze1_easy.txt,2000,530,53,0,25.2925,98,0,1.0,37.74
157,AStar,Maze1_easy.txt,2000,560,56,0,22.8195,100,0,1.0,35.71
158,AStar,Maze1_easy.txt,2000,540,54,0,22.4665,101,0,1.0,37.04
159,AStar,Maze1_easy.txt,2000,510,51,0,25.1055,99,0,1.0,39.22
160,AStar,Maze1_easy.txt,2000,610,61,0,21.7275,115,0,1.0,32.79
161,AStar,Maze1_easy.txt,2000,520,52,0,23.333,93,0,1.0,38.46
162,AStar,Maze1_easy.txt,2000,540,54,0,22.5475,105,0,1.0,37.04
163,AStar,Maze1_easy.txt,2000,560,56,0,22.9775,102,0,1.0,35.71
164,AStar,Maze1_easy.txt,2000,560,56,0,24.2025,104,0,1.0,35.71
165,AStar,Maze1_easy.txt,2000,590,59,0,21.7965,108,0,1.0,33.9
166,AStar,Maze1_easy.txt,2000,580,58,0,21.799,108,0,1.0,34.48
167,AStar,Maze1_easy.txt,2000,580,58,0,21.8655,104,0,1.0,34.48
168,AStar,Maze1_easy.txt,2000,550,55,0,22.042,101,0,1.0,36.36
169,AStar,Maze1_easy.txt,2000,570,57,0,22.7625,106,0,1.0,35.09
170,AStar,Maze1_easy.txt,2000,560,56,0,21.3045,105,0,1.0,35.71
171,AStar,Maze1_easy.txt,2000,630,63,0,21.734,109,0,1.0,31.75
172,AStar,Maze1_easy.txt,2000,590,59,0,22.306,109,0,1.0,33.9
173,AStar,Maze1_easy.txt,2000,540,54,0,24.1885,96,0,1.0,37.04
174,AStar,Maze1_easy.txt,2000,580,58,0,22.6735,110,0,1.0,34.48
175,AStar,Maze1_easy.txt,2000,500,50,0,25.464,95,0,1.0,40.0
176,AStar,Maze1_easy.txt,2000,500,50,0,24.85,93,0,1.0,40.0
177,AStar,Maze1_easy.txt,2000,560,56,0,23.304,102,0,1.0,35.71
178,AStar,Maze1_easy.txt,2000,620,62,0,21.1285,117,0,1.0,32.26
179,AStar,Maze1_easy.txt,2000,620,62,0,22.1755,117,0,1.0,32.26
180,AStar,Maze1_easy.txt,2000,570,57,0,21.735,107,0,1.0,35.09
181,AStar,Maze1_easy.txt,2000,540,54,0,23.2625,100,0,1.0,37.04
182,AStar,Maze1_easy.txt,2000,580,58,0,21.7665,112,0,1.0,34.48
183,AStar,Maze1_easy.txt,2000,530,53,0,23.13,101,0,1.0,37.74
184,AStar,Maze1_easy.txt,2000,520,52,0,22.521,98,0,1.0,38.46
185,AStar,Maze1_easy.txt,2000,570,57,0,22.9735,107,0,1.0,35.09
186,AStar,Maze1_easy.txt,2000,610,61,0,21.1805,112,0,1.0,32.79
187,AStar,Maze1_easy.txt,2000,540,54,0,23.208,101,0,1.0,37.04
188,AStar,Maze1_easy.txt,2000,530,53,0,24.3715,96,0,1.0,37.74
189,AStar,Maze1_easy.txt,2000,550,55,0,22.1925,106,0,1.0,36.36
190,AStar,Maze1_easy.txt,2000,550,55,0,22.8625,100,0,1.0,36.36
191,AStar,Maze1_easy.txt,2000,530,53,0,23.328,100,0,1.0,37.74
192,AStar,Maze1_easy.txt,2000,540,54,0,23.6295,102,0,1.0,37.04
193,AStar,Maze1_easy.txt,2000,500,50,0,25.0955,95,0,1.0,40.0
194,AStar,Maze1_easy.txt,2000,550,55,0,23.484,99,0,1.0,36.36
195,AStar,Maze1_easy.txt,2000,510,51,0,24.743,96,0,1.0,39.22
196,AStar,Maze1_easy.txt,2000,540,54,0,21.913,105,0,1.0,37.04
