episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food,cluster,tsne_x,tsne_y
161,AStar,Maze1_easy.txt,2000,520,52,0,23.333,93,0,1.0,38.46,0,-12.939905,-66.28591
162,AStar,Maze1_easy.txt,2000,540,54,0,22.5475,105,0,1.0,37.04,0,13.499421,-67.22712
163,AStar,Maze1_easy.txt,2000,560,56,0,22.9775,102,0,1.0,35.71,0,20.7764,-52.477142
164,AStar,Maze1_easy.txt,2000,560,56,0,24.2025,104,0,1.0,35.71,0,7.2705503,-45.424732
165,AStar,Maze1_easy.txt,2000,590,59,0,21.7965,108,0,1.0,33.9,0,44.272556,-51.224297
166,AStar,Maze1_easy.txt,2000,580,58,0,21.799,108,0,1.0,34.48,0,43.966976,-56.80586
167,AStar,Maze1_easy.txt,2000,580,58,0,21.8655,104,0,1.0,34.48,0,42.076027,-60.01648
168,AStar,Maze1_easy.txt,2000,550,55,0,22.042,101,0,1.0,36.36,0,21.233845,-62.831795
169,AStar,Maze1_easy.txt,2000,570,57,0,22.7625,106,0,1.0,35.09,0,29.231028,-49.956482
170,AStar,Maze1_easy.txt,2000,560,56,0,21.3045,105,0,1.0,35.71,0,34.4503,-63.357937
171,AStar,Maze1_easy.txt,2000,630,63,0,21.734,109,0,1.0,31.75,0,65.64854,-48.327446
172,AStar,Maze1_easy.txt,2000,590,59,0,22.306,109,0,1.0,33.9,0,43.3692,-48.641468
173,AStar,Maze1_easy.txt,2000,540,54,0,24.1885,96,0,1.0,37.04,0,-2.716413,-50.52342
174,AStar,Maze1_easy.txt,2000,580,58,0,22.6735,110,0,1.0,34.48,0,38.746918,-46.614304
175,AStar,Maze1_easy.txt,2000,500,50,0,25.464,95,0,1.0,40.0,0,-23.568779,-47.879883
176,AStar,Maze1_easy.txt,2000,500,50,0,24.85,93,0,1.0,40.0,0,-20.874334,-45.13494
177,AStar,Maze1_easy.txt,2000,560,56,0,23.304,102,0,1.0,35.71,0,19.65996,-52.282776
178,AStar,Maze1_easy.txt,2000,620,62,0,21.1285,117,0,1.0,32.26,0,65.45924,-46.079834
179,AStar,Maze1_easy.txt,2000,620,62,0,22.1755,117,0,1.0,32.26,0,59.39067,-44.708656
180,AStar,Maze1_easy.txt,2000,570,57,0,21.735,107,0,1.0,35.09,0,37.339935,-61.23713
181,AStar,Maze1_easy.txt,2000,540,54,0,23.2625,100,0,1.0,37.04,0,7.1059065,-70.73685
182,AStar,Maze1_easy.txt,2000,580,58,0,21.7665,112,0,1.0,34.48,0,47.471622,-55.78611
183,AStar,Maze1_easy.txt,2000,530,53,0,23.13,101,0,1.0,37.74,0,-2.4957793,-66.48113
184,AStar,Maze1_easy.txt,2000,520,52,0,22.521,98,0,1.0,38.46,0,-9.829033,-69.37917
185,AStar,Maze1_easy.txt,2000,570,57,0,22.9735,107,0,1.0,35.09,0,29.435677,-48.49051
186,AStar,Maze1_easy.txt,2000,610,61,0,21.1805,112,0,1.0,32.79,0,62.92922,-50.697502
187,AStar,Maze1_easy.txt,2000,540,54,0,23.208,101,0,1.0,37.04,0,7.335364,-69.870094
188,AStar,Maze1_easy.txt,2000,530,53,0,24.3715,96,0,1.0,37.74,0,-6.5217423,-49.813652
189,AStar,Maze1_easy.txt,2000,550,55,0,22.1925,106,0,1.0,36.36,0,19.518274,-64.46026
190,AStar,Maze1_easy.txt,2000,550,55,0,22.8625,100,0,1.0,36.36,0,18.41129,-60.685074
191,AStar,Maze1_easy.txt,2000,530,53,0,23.328,100,0,1.0,37.74,0,-3.6902382,-65.85606
192,AStar,Maze1_easy.txt,2000,540,54,0,23.6295,102,0,1.0,37.04,0,4.5580025,-68.68421
193,AStar,Maze1_easy.txt,2000,500,50,0,25.0955,95,0,1.0,40.0,0,-21.689884,-45.90062
194,AStar,Maze1_easy.txt,2000,550,55,0,23.484,99,0,1.0,36.36,0,8.097227,-54.538094
195,AStar,Maze1_easy.txt,2000,510,51,0,24.743,96,0,1.0,39.22,0,-17.180134,-52.132874
196,AStar,Maze1_easy.txt,2000,540,54,0,21.913,105,0,1.0,37.04,0,17.211214,-66.68897
197,AStar,Maze1_easy.txt,2000,570,57,0,21.7915,107,0,1.0,35.09,0,37.11544,-61.34805
198,AStar,Maze1_easy.txt,2000,520,52,0,23.089,94,0,1.0,38.46,0,-12.555631,-66.75575
199,AStar,Maze1_easy.txt,2000,570,57,0,22.356,106,0,1.0,35.09,0,30.001549,-53.391575
200,AStar,Maze1_easy.txt,2000,540,54,0,23.215,100,0,1.0,37.04,0,7.487109,-70.743195
201,AStar,Maze2_medium.txt,2000,520,52,0,23.1765,168,0,1.0,38.46,0,47.558426,4.017547
202,AStar,Maze2_medium.txt,2000,630,63,0,19.471,168,0,1.0,31.75,0,84.4142,-7.595822
203,AStar,Maze2_medium.txt,2000,500,50,0,24.2185,172,0,1.0,40.0,0,32.80781,6.6513376
204,AStar,Maze2_medium.txt,2000,570,57,0,20.883,166,0,1.0,35.09,0,73.43905,-1.0974205
205,AStar,Maze2_medium.txt,2000,510,51,0,22.7075,127,0,1.0,39.22,0,16.970942,-16.504692
206,AStar,Maze2_medium.txt,2000,530,53,0,23.534,156,0,1.0,37.74,0,35.363117,-9.139689
207,AStar,Maze2_medium.txt,2000,600,60,0,20.243,154,0,1.0,33.33,0,79.2797,-14.381693
208,AStar,Maze2_medium.txt,2000,440,44,0,25.85,154,0,1.0,45.45,0,17.015793,17.903316
